country_code,year,tourist_arrivals,co2_pc,life_exp,broadband_p100,mobile_p100,hosp_beds_p1000,tour_receipts_pctexp,pm25,renew_energy_pct,rnd_pct_gdp,population,gdp_pc,urban_pct,region,income_group,country_name
MEX,1995,85446000.0,3.53888958459174,70.703,,0.765273175,1.2000000477,10.8437625559668,21.4229374802059,13.3,,90862455,4183.87847727479,73.2962313883119,Latin America & Caribbean,Upper middle income,Mexico
MHL,1995,5500.0,1.29385474860335,62.515,,0.520689519,,,4.57668217908717,19.4,,48266,2490.98744457796,67.5397939409419,East Asia & Pacific,Upper middle income,Marshall Islands
MKD,1995,147000.0,5.46559489162245,71.8487804878049,,0.0,5.4099998474,,32.8984181752139,17.8,,1998534,2355.24705371138,59.7277853696842,Europe & Central Asia,Upper middle income,North Macedonia
MLI,1995,42000.0,0.0488706797369969,48.292,,0.0,,4.91120494737334,33.185587277648,85.1,,10185365,331.193112418678,17.6234008749003,Sub-Saharan Africa,Low income,Mali
MLT,1995,1193000.0,5.62555939155157,77.290243902439,,2.825993589,5.4299998283,27.1501181052544,16.7484466490202,0.0,,377419,9828.32366424667,92.6973466192341,Middle East & North Africa,High income,Malta
MMR,1995,194000.0,0.160969505565872,58.671,,0.006450532,,13.0585547161185,41.8628078819811,85.2,,42605338,124.14348039051,26.6474237802388,East Asia & Pacific,Lower middle income,Myanmar
MNE,1995,,,73.5649268292683,,,,,28.6215371413875,,,611712,,52.8343773069715,Europe & Central Asia,Upper middle income,Montenegro
MNG,1995,108000.0,3.44673001633132,60.892512195122,,0.0,,6.49222899862286,25.1539270223644,3.0,,2224945,652.67456284915,56.7918138357155,East Asia & Pacific,Lower middle income,Mongolia
MNP,1995,676000.0,,71.938,,2.463205862,,,3.90442019305278,0.0,,48176,,89.5508930843623,East Asia & Pacific,High income,Northern Mariana Islands
MOZ,1995,,0.070737906123256,46.546,,0.0,,,15.36601980702,92.8,,15960530,191.826096861406,27.6270913060259,Sub-Saharan Africa,Low income,Mozambique
MRT,1995,,0.46170879752479,58.861,,0.0,,,50.284035931065,45.2,,2312017,904.719170071042,38.6515898670056,Sub-Saharan Africa,Lower middle income,Mauritania
MUS,1995,437000.0,1.63020320600255,70.3258536585366,,1.011457438,,26.2197249900034,14.2531924315765,38.8,,1122457,3648.01649622256,43.2042800229269,Sub-Saharan Africa,Upper middle income,Mauritius
